DriverId,Driver,LapId,LapNumber,LapTime,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,Stint,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus
17,VER,53,53.0,0 days 00:01:30.859000,0 days 00:01:30.859000,0 days 00:00:32.113000,0 days 00:00:19.031000,0 days 00:00:39.715000,2.0,6.0,INTERMEDIATE,7.0,,,1
17,VER,54,54.0,0 days 00:01:29.100000,0 days 00:01:29.100000,0 days 00:00:31.437000,0 days 00:00:18.688000,0 days 00:00:38.975000,2.0,6.0,INTERMEDIATE,8.0,,,1
17,VER,55,55.0,0 days 00:01:28.538000,0 days 00:01:28.538000,0 days 00:00:30.812000,0 days 00:00:18.798000,0 days 00:00:38.928000,2.0,6.0,INTERMEDIATE,9.0,,,1
17,VER,56,56.0,0 days 00:01:27.921000,0 days 00:01:27.921000,0 days 00:00:30.695000,0 days 00:00:18.320000,0 days 00:00:38.906000,2.0,6.0,INTERMEDIATE,10.0,,,1
17,VER,57,57.0,0 days 00:01:27.400000,0 days 00:01:27.400000,0 days 00:00:30.421000,0 days 00:00:18.285000,0 days 00:00:38.694000,2.0,6.0,INTERMEDIATE,11.0,,,1
1,GAS,58,1.0,0 days 00:02:14.132000,0 days 00:02:14.132000,,0 days 00:00:21.554000,0 days 00:01:05.755000,9.0,1.0,INTERMEDIATE,1.0,,,124
1,GAS,59,2.0,,,0 days 00:00:55.855000,0 days 00:00:35.135000,0 days 00:01:20.320000,9.0,1.0,INTERMEDIATE,2.0,0 days 01:15:53.611000,,4
1,GAS,60,3.0,,,0 days 00:00:50.510000,0 days 00:00:36.049000,0 days 00:01:16.333000,9.0,2.0,INTERMEDIATE,3.0,0 days 01:18:36.076000,0 days 01:16:08.591000,4
1,GAS,61,4.0,,,0 days 00:00:50.360000,0 days 00:00:32.205000,0 days 00:01:12.024000,9.0,3.0,INTERMEDIATE,4.0,0 days 01:21:12.398000,0 days 01:18:51.914000,4
1,GAS,62,5.0,0 days 00:02:21.360000,0 days 00:02:21.360000,0 days 00:00:51.180000,0 days 00:00:30.446000,0 days 00:00:59.734000,9.0,4.0,INTERMEDIATE,5.0,,0 days 01:21:27.130000,4
1,GAS,63,6.0,0 days 00:02:19.952000,0 days 00:02:19.952000,0 days 00:00:43.258000,0 days 00:00:34.952000,0 days 00:01:01.742000,9.0,4.0,INTERMEDIATE,6.0,,,4
